0,n0,493,0,N
1,n1,825,0,N
2,n2,690,0,N
3,n3,816,0,N
4,n4,314,0,N
5,n5,468,0,N
6,n6,362,0,N
7,n7,845,0,N
8,n8,301,0,N
9,n9,335,0,N
10,n10,425,0,N
11,n11,507,0,N
12,n12,891,0,N
13,n13,334,0,N
14,n14,830,0,N
15,n15,324,0,N
16,n16,493,0,N
17,n17,659,0,N
18,n18,716,0,N
19,n19,510,0,N
20,n20,657,0,N
21,n21,704,0,N
22,n22,317,0,N
23,n23,885,0,N
24,n24,464,0,N
25,n25,848,0,N
26,n26,443,0,N
27,n27,807,0,N
28,n28,787,0,N
29,n29,460,0,N
30,n30,458,0,N
31,n31,375,0,N
32,n32,706,0,N
33,n33,457,0,N
34,n34,754,0,N
35,n35,360,0,N
36,n36,649,0,N
37,n37,832,0,N
38,n38,260,0,N
39,n39,668,0,N
40,n40,324,0,N
41,n41,429,0,N
42,n42,865,0,N
43,n43,601,0,N
44,n44,355,0,N
45,n45,572,0,N
46,n46,536,0,N
47,n47,882,0,N
48,n48,720,0,N
49,n49,789,0,N
50,n50,535,0,N
51,n51,672,0,N
52,n52,898,0,N
53,n53,687,0,N
54,n54,445,0,N
55,n55,393,0,N
56,n56,494,0,N
57,n57,891,0,N
58,n58,260,0,N
59,n59,565,0,N
60,n60,506,0,N
61,n61,423,0,N
62,n62,872,0,N
63,n63,845,648,S
64,n64,484,0,N
65,n65,864,0,N
66,n66,886,0,N
67,n67,711,0,N
68,n68,375,0,N
69,n69,628,0,N
70,n70,652,0,N
71,n71,809,0,N
72,n72,608,0,N
73,n73,761,0,N
74,n74,318,0,N
75,n75,690,0,N
76,n76,726,0,N
77,n77,810,0,N
78,n78,413,0,N
79,n79,708,0,N
80,n80,386,0,N
81,n81,466,0,N
82,n82,551,0,N
83,n83,566,0,N
84,n84,626,0,N
85,n85,430,0,N
86,n86,781,0,N
87,n87,610,0,N
88,n88,772,425,S
89,n89,519,0,N
90,n90,604,0,N
91,n91,501,0,N
92,n92,464,0,N
93,n93,769,0,N
94,n94,482,0,N
95,n95,631,0,N
96,n96,599,0,N
97,n97,337,0,N
98,n98,885,0,N
99,n99,292,0,N
100,n100,765,0,N
101,n101,723,0,N
102,n102,371,0,N
103,n103,292,0,N
104,n104,429,0,N
105,n105,567,0,N
106,n106,583,0,N
107,n107,764,0,N
108,n108,617,0,N
109,n109,552,0,N
110,n110,629,0,N
111,n111,321,0,N
112,n112,381,0,N
113,n113,583,0,N
114,n114,566,0,N
115,n115,250,0,N
116,n116,403,0,N
117,n117,704,0,N
118,n118,538,0,N
119,n119,523,0,N
120,n120,632,0,N
121,n121,769,0,N
122,n122,788,0,N
123,n123,600,0,N
124,n124,631,0,N
125,n125,273,0,N
126,n126,796,0,N
127,n127,851,0,N
128,n128,322,0,N
129,n129,427,0,N
130,n130,428,0,N
131,n131,277,0,N
132,n132,640,0,N
133,n133,528,0,N
134,n134,531,0,N
135,n135,542,0,N
136,n136,762,0,N
137,n137,863,0,N
138,n138,379,0,N
139,n139,535,0,N
140,n140,672,0,N
141,n141,825,0,N
142,n142,323,0,N
143,n143,402,0,N
144,n144,869,0,N
145,n145,601,0,N
146,n146,504,0,N
147,n147,867,0,N
148,n148,351,0,N
149,n149,350,0,N
150,n150,432,0,N
151,n151,738,0,N
152,n152,307,0,N
153,n153,711,0,N
154,n154,370,0,N
155,n155,855,0,N
156,n156,795,0,N
157,n157,830,0,N
158,n158,373,314,S
159,n159,290,0,N
160,n160,283,0,N
161,n161,785,0,N
162,n162,525,0,N
163,n163,472,0,N
164,n164,573,0,N
165,n165,331,0,N
166,n166,480,381,S
167,n167,355,0,N
168,n168,416,0,N
169,n169,480,0,N
170,n170,424,417,S
171,n171,898,427,S
172,n172,592,0,N
173,n173,666,0,N
174,n174,879,0,N
175,n175,842,0,N
176,n176,819,0,N
177,n177,310,0,N
178,n178,697,0,N
179,n179,767,0,N
180,n180,295,0,N
181,n181,890,0,N
182,n182,554,0,N
183,n183,783,0,N
184,n184,586,0,N
185,n185,887,0,N
186,n186,332,0,N
187,n187,614,0,N
188,n188,281,0,N
189,n189,629,0,N
190,n190,470,0,N
191,n191,795,0,N
192,n192,657,0,N
193,n193,470,0,N
194,n194,306,0,N
195,n195,355,0,N
196,n196,407,0,N
197,n197,562,0,N
198,n198,787,0,N
199,n199,672,0,N
200,n200,274,0,N
201,n201,886,0,N
202,n202,281,0,N
203,n203,783,760,S
204,n204,344,0,N
205,n205,785,0,N
206,n206,553,0,N
207,n207,784,0,N
208,n208,418,0,N
209,n209,648,0,N
210,n210,553,0,N
211,n211,894,0,N
212,n212,436,0,N
213,n213,358,0,N
214,n214,382,0,N
215,n215,378,0,N
216,n216,718,0,N
217,n217,280,0,N
218,n218,559,0,N
219,n219,595,0,N
220,n220,473,0,N
221,n221,891,0,N
222,n222,422,0,N
223,n223,846,0,N
224,n224,859,0,N
225,n225,266,0,N
226,n226,616,0,N
227,n227,484,0,N
228,n228,615,0,N
229,n229,371,0,N
230,n230,590,0,N
231,n231,296,0,N
232,n232,449,0,N
233,n233,739,0,N
234,n234,293,0,N
235,n235,602,0,N
236,n236,774,0,N
237,n237,736,0,N
238,n238,390,0,N
239,n239,591,0,N
240,n240,868,0,N
241,n241,258,0,N
242,n242,377,0,N
243,n243,832,0,N
244,n244,886,0,N
245,n245,657,0,N
246,n246,368,0,N
247,n247,257,0,N
248,n248,432,0,N
249,n249,675,0,N
250,n250,275,0,N
251,n251,892,0,N
252,n252,628,0,N
253,n253,845,0,N
254,n254,684,0,N
255,n255,647,0,N
256,n256,349,0,N
257,n257,495,0,N
258,n258,475,0,N
259,n259,571,0,N
260,n260,671,0,N
261,n261,318,0,N
262,n262,367,0,N
