0,e0,n0,n1,3.0,100
1,e1,n0,n6,6.0,147
2,e2,n1,n2,15.0,170
3,e3,n2,n3,13.0,97
4,e4,n3,n4,12.0,117
5,e5,n5,n6,7.0,157
6,e6,n5,n7,2.0,186
7,e7,n5,n8,13.0,78
8,e8,n7,n265,4.0,115
9,e9,n8,n298,6.0,188
10,e10,n9,n10,13.0,89
11,e11,n9,n36,19.0,115
12,e12,n9,n37,3.0,187
13,e13,n10,n11,14.0,128
14,e14,n11,n12,29.0,111
15,e15,n12,n13,17.0,154
16,e16,n13,n14,33.0,159
17,e17,n14,n15,10.0,91
18,e18,n15,n16,13.0,108
19,e19,n16,n17,27.0,103
20,e20,n17,n18,10.0,152
21,e21,n18,n19,15.0,170
22,e22,n19,n20,9.0,152
23,e23,n20,n21,12.0,100
24,e24,n21,n22,9.0,136
25,e25,n22,n23,12.0,199
26,e26,n23,n24,12.0,191
27,e27,n24,n25,12.0,139
28,e28,n25,n26,8.0,136
29,e29,n26,n27,11.0,142
30,e30,n27,n28,5.0,176
31,e31,n28,n29,26.0,127
32,e32,n29,n30,13.0,133
33,e33,n30,n31,9.0,140
34,e34,n32,n33,5.0,113
35,e35,n33,n34,37.0,196
36,e36,n34,n35,11.0,188
37,e37,n35,n36,61.0,145
38,e38,n37,n38,14.0,152
39,e39,n38,n39,30.0,170
40,e40,n39,n81,15.0,83
41,e41,n39,n352,12.0,197
42,e42,n40,n41,18.0,158
43,e43,n41,n42,29.0,126
44,e44,n42,n43,22.0,143
45,e45,n43,n44,26.0,136
46,e46,n44,n45,3.0,109
47,e47,n45,n46,21.0,195
48,e48,n46,n47,20.0,199
49,e49,n47,n48,9.0,166
50,e50,n48,n49,20.0,119
51,e51,n49,n50,10.0,71
52,e52,n50,n51,28.0,181
53,e53,n51,n52,9.0,156
54,e54,n52,n53,25.0,195
55,e55,n53,n54,15.0,196
56,e56,n54,n55,2.0,125
57,e57,n55,n56,9.0,75
58,e58,n56,n57,13.0,75
59,e59,n57,n58,23.0,86
60,e60,n58,n126,20.0,76
61,e61,n58,n435,14.0,157
62,e62,n59,n60,17.0,189
63,e63,n59,n253,6.0,124
64,e64,n59,n816,17.0,85
65,e65,n60,n61,32.0,184
66,e66,n61,n62,28.0,180
67,e67,n62,n63,13.0,198
68,e68,n63,n64,13.0,87
69,e69,n64,n65,16.0,175
70,e70,n65,n66,23.0,160
71,e71,n66,n67,22.0,195
72,e72,n67,n68,3.0,96
73,e73,n68,n69,6.0,97
74,e74,n69,n70,17.0,89
75,e75,n70,n71,14.0,132
76,e76,n71,n72,67.0,124
77,e77,n72,n73,16.0,159
78,e78,n73,n74,32.0,122
79,e79,n74,n75,2.0,109
80,e80,n75,n76,23.0,110
81,e81,n76,n77,19.0,165
82,e82,n77,n78,14.0,109
83,e83,n78,n79,6.0,111
84,e84,n79,n80,5.0,150
85,e85,n81,n82,7.0,71
86,e86,n82,n98,26.0,155
87,e87,n82,n339,14.0,108
88,e88,n83,n84,5.0,84
89,e89,n83,n141,33.0,106
90,e90,n83,n203,8.0,76
91,e91,n84,n85,19.0,108
92,e92,n85,n86,24.0,182
93,e93,n86,n87,19.0,160
94,e94,n87,n88,18.0,111
95,e95,n88,n89,10.0,104
96,e96,n89,n90,9.0,163
97,e97,n90,n91,7.0,85
98,e98,n91,n92,25.0,185
99,e99,n92,n93,17.0,175
100,e100,n93,n94,13.0,95
101,e101,n94,n95,21.0,172
102,e102,n95,n96,7.0,97
103,e103,n96,n97,12.0,169
104,e104,n97,n98,13.0,84
105,e105,n99,n100,7.0,104
106,e106,n99,n140,11.0,86
107,e107,n99,n844,32.0,161
108,e108,n100,n101,17.0,192
109,e109,n101,n102,13.0,121
110,e110,n102,n103,12.0,78
111,e111,n103,n104,13.0,180
112,e112,n104,n105,14.0,116
113,e113,n105,n106,13.0,77
114,e114,n106,n107,19.0,170
115,e115,n107,n108,22.0,180
116,e116,n108,n109,7.0,165
117,e117,n109,n110,27.0,79
118,e118,n110,n111,22.0,82
119,e119,n111,n112,17.0,142
120,e120,n112,n113,5.0,151
121,e121,n113,n114,5.0,92
122,e122,n114,n115,9.0,70
123,e123,n115,n116,9.0,132
124,e124,n116,n117,6.0,75
125,e125,n117,n118,12.0,167
126,e126,n118,n119,39.0,157
127,e127,n119,n120,5.0,79
128,e128,n120,n121,11.0,151
129,e129,n121,n122,6.0,106
130,e130,n122,n123,21.0,117
131,e131,n123,n124,12.0,96
132,e132,n124,n125,3.0,106
133,e133,n126,n127,14.0,98
134,e134,n127,n128,10.0,135
135,e135,n128,n129,14.0,148
136,e136,n129,n130,13.0,127
137,e137,n130,n131,12.0,84
138,e138,n131,n132,13.0,135
139,e139,n132,n133,13.0,87
140,e140,n133,n134,16.0,98
141,e141,n134,n135,23.0,145
142,e142,n135,n136,8.0,186
143,e143,n136,n137,14.0,119
144,e144,n137,n138,9.0,170
145,e145,n138,n139,5.0,196
146,e146,n139,n140,9.0,82
147,e147,n141,n142,15.0,180
148,e148,n142,n143,14.0,185
149,e149,n143,n144,20.0,182
150,e150,n144,n145,8.0,160
151,e151,n145,n146,25.0,164
152,e152,n146,n147,16.0,157
153,e153,n147,n148,15.0,199
154,e154,n148,n149,7.0,130
155,e155,n149,n150,9.0,181
156,e156,n150,n151,4.0,120
157,e157,n151,n152,16.0,124
158,e158,n152,n153,13.0,132
159,e159,n153,n154,10.0,154
160,e160,n154,n155,13.0,83
161,e161,n155,n156,20.0,109
162,e162,n156,n157,10.0,183
163,e163,n157,n158,6.0,175
164,e164,n158,n159,9.0,182
165,e165,n159,n160,4.0,147
166,e166,n160,n161,6.0,147
167,e167,n161,n162,5.0,78
168,e168,n162,n163,6.0,181
169,e169,n163,n164,10.0,186
170,e170,n164,n165,3.0,199
171,e171,n165,n166,4.0,136
172,e172,n166,n167,11.0,107
173,e173,n167,n168,9.0,158
174,e174,n168,n169,6.0,93
175,e175,n169,n170,7.0,83
176,e176,n170,n171,8.0,158
177,e177,n171,n172,7.0,158
178,e178,n172,n173,17.0,109
179,e179,n173,n174,11.0,101
180,e180,n174,n175,16.0,139
181,e181,n175,n176,8.0,176
182,e182,n176,n177,12.0,181
183,e183,n177,n178,9.0,175
184,e184,n178,n179,12.0,185
185,e185,n179,n180,6.0,131
186,e186,n180,n181,12.0,186
187,e187,n181,n182,2.0,131
188,e188,n182,n183,29.0,168
189,e189,n183,n184,6.0,181
190,e190,n184,n185,9.0,181
191,e191,n185,n186,6.0,99
192,e192,n186,n187,12.0,77
193,e193,n187,n188,6.0,145
194,e194,n188,n189,54.0,135
195,e195,n189,n190,14.0,122
196,e196,n190,n191,8.0,191
197,e197,n191,n192,6.0,138
198,e198,n192,n193,20.0,131
199,e199,n193,n194,4.0,81
200,e200,n193,n254,12.0,164
