0,e0,n1609,n1622,273,12,6
1,e1,n2471,n2479,346,15,7
2,e2,n2463,n2471,803,20,17
3,e3,n2443,n2448,282,8,6
4,e4,n1417,n1491,903,12,19
5,e5,n4961,n4962,253,8,6
6,e6,n3150,n3156,209,11,5
7,e7,n1629,n1633,584,9,12
8,e8,n2234,n2249,295,5,6
9,e9,n2159,n2162,304,9,7
10,e10,n2154,n2159,490,15,10
11,e11,n2148,n2150,896,12,18
12,e12,n1312,n1317,282,12,6
13,e13,n1692,n1700,653,9,14
14,e14,n293,n299,735,16,15
15,e15,n3806,n3807,990,13,20
16,e16,n3521,n3528,604,11,13
17,e17,n3515,n3521,269,15,6
18,e18,n3833,n3845,565,14,12
19,e19,n3857,n3874,961,19,20
20,e20,n3848,n3851,725,14,15
21,e21,n3833,n3848,753,17,16
22,e22,n472,n475,844,14,17
23,e23,n3202,n3203,224,14,5
24,e24,n0,n2,613,10,13
25,e25,n2,n5,815,16,17
26,e26,n5,n7,241,14,5
27,e27,n7,n11,933,18,19
28,e28,n11,n37,284,20,6
29,e29,n0,n1,381,7,8
30,e30,n1,n3,560,8,12
31,e31,n3,n4,305,14,7
32,e32,n4,n6,547,7,11
33,e33,n5679,n5681,604,17,13
34,e34,n2702,n2703,841,7,17
35,e35,n1671,n4959,648,5,13
36,e36,n4276,n4278,329,5,7
37,e37,n2462,n2473,439,7,9
38,e38,n5676,n5677,359,16,8
39,e39,n1261,n1266,820,8,17
40,e40,n126,n128,782,10,16
41,e41,n239,n270,609,11,13
42,e42,n238,n239,471,9,10
43,e43,n237,n238,309,7,7
44,e44,n236,n237,696,9,14
45,e45,n184,n236,931,8,19
46,e46,n129,n184,713,15,15
47,e47,n126,n129,378,15,8
48,e48,n125,n126,511,10,11
49,e49,n123,n125,514,15,11
50,e50,n121,n123,648,18,13
51,e51,n118,n121,902,20,19
52,e52,n118,n119,851,13,18
53,e53,n448,n469,483,15,10
54,e54,n379,n448,270,19,6
55,e55,n354,n355,476,10,10
56,e56,n355,n356,883,12,18
57,e57,n356,n357,722,11,15
58,e58,n357,n379,671,18,14
59,e59,n469,n590,959,9,20
60,e60,n138,n590,590,9,12
61,e61,n124,n138,821,16,17
62,e62,n120,n124,760,12,16
63,e63,n119,n120,995,14,20
64,e64,n119,n122,955,8,20
65,e65,n122,n127,309,6,7
66,e66,n127,n201,915,11,19
67,e67,n201,n480,760,12,16
68,e68,n477,n480,829,14,17
69,e69,n475,n477,557,18,12
70,e70,n472,n473,473,14,10
71,e71,n355,n375,424,12,9
72,e72,n473,n474,643,8,13
73,e73,n474,n476,394,17,8
74,e74,n476,n478,260,10,6
75,e75,n478,n479,940,14,19
76,e76,n479,n491,691,5,14
77,e77,n491,n535,616,9,13
78,e78,n535,n591,588,15,12
79,e79,n270,n591,561,9,12
80,e80,n270,n309,238,7,5
81,e81,n309,n592,782,6,16
82,e82,n592,n593,788,10,16
83,e83,n593,n631,282,7,6
84,e84,n631,n710,599,20,12
85,e85,n710,n711,906,12,19
86,e86,n78,n828,761,13,16
87,e87,n66,n78,490,9,10
88,e88,n66,n82,912,11,19
89,e89,n82,n713,795,17,16
90,e90,n711,n713,873,16,18
91,e91,n711,n712,646,16,13
92,e92,n712,n714,973,16,20
93,e93,n714,n731,472,6,10
94,e94,n731,n803,989,6,20
95,e95,n803,n831,527,11,11
96,e96,n829,n831,567,16,12
97,e97,n829,n830,826,19,17
98,e98,n830,n833,237,8,5
99,e99,n833,n841,462,19,10
100,e100,n833,n839,715,18,15
101,e101,n833,n947,961,7,20
102,e102,n947,n948,809,5,17
103,e103,n948,n949,707,17,15
104,e104,n949,n953,629,12,13
105,e105,n949,n951,275,16,6
106,e106,n3331,n3333,574,20,12
107,e107,n358,n366,419,20,9
108,e108,n366,n393,289,6,6
109,e109,n393,n1066,815,20,17
110,e110,n1065,n1066,973,20,20
111,e111,n953,n1065,903,16,19
112,e112,n355,n358,681,7,14
113,e113,n6062,n6068,808,14,17
114,e114,n6055,n6062,827,12,17
115,e115,n6051,n6055,433,19,9
116,e116,n6042,n6051,755,11,16
117,e117,n6033,n6042,913,5,19
118,e118,n6021,n6033,661,7,14
119,e119,n575,n4002,780,12,16
120,e120,n5751,n5752,344,9,7
121,e121,n12,n14,822,12,17
122,e122,n6,n8,525,15,11
123,e123,n1067,n1070,317,15,7
124,e124,n701,n1067,323,5,7
125,e125,n698,n1067,233,14,5
126,e126,n1067,n1068,312,17,7
127,e127,n8,n10,947,8,19
128,e128,n1185,n1187,528,7,11
129,e129,n1185,n1186,219,12,5
130,e130,n1185,n1188,360,11,8
131,e131,n1185,n1197,439,18,9
132,e132,n10,n12,838,8,17
133,e133,n625,n634,874,6,18
134,e134,n625,n626,770,15,16
135,e135,n625,n639,846,18,17
136,e136,n618,n625,703,5,15
137,e137,n12,n16,642,6,13
138,e138,n1303,n1309,237,9,5
139,e139,n1303,n1305,881,18,18
140,e140,n1303,n1307,692,19,14
141,e141,n1303,n1304,987,11,20
142,e142,n6,n9,386,14,8
143,e143,n1421,n1425,466,11,10
144,e144,n1421,n1423,354,5,8
145,e145,n1421,n1422,872,20,18
146,e146,n1421,n1426,224,13,5
147,e147,n935,n4978,488,19,10
148,e148,n935,n5637,353,13,8
149,e149,n902,n935,567,8,12
150,e150,n935,n5639,996,9,20
151,e151,n1539,n1544,897,8,18
152,e152,n1539,n1542,935,11,19
153,e153,n1539,n1540,574,17,12
154,e154,n1539,n1545,951,6,20
155,e155,n16,n20,500,19,10
156,e156,n1557,n1562,811,13,17
157,e157,n1287,n1557,286,5,6
158,e158,n1294,n1557,751,12,16
159,e159,n1557,n1558,593,10,12
160,e160,n20,n25,272,16,6
161,e161,n1675,n1679,227,18,5
162,e162,n1675,n1678,412,10,9
163,e163,n1675,n1676,927,14,19
164,e164,n1675,n1677,510,14,11
165,e165,n1793,n1797,773,14,16
166,e166,n1793,n1795,688,16,14
167,e167,n1793,n1794,828,18,17
168,e168,n1793,n1801,917,6,19
169,e169,n25,n32,975,20,20
170,e170,n1911,n1914,640,5,13
171,e171,n1911,n1913,457,10,10
172,e172,n1911,n1912,552,19,12
173,e173,n1911,n1918,902,6,19
174,e174,n723,n734,775,18,16
175,e175,n1867,n1908,248,8,5
176,e176,n1867,n1886,205,12,5
177,e177,n1849,n1867,334,16,7
178,e178,n1867,n1891,506,10,11
179,e179,n5349,n5363,387,17,8
180,e180,n2029,n2033,253,19,6
181,e181,n2029,n2032,647,11,13
182,e182,n2029,n2031,941,7,19
183,e183,n2029,n2030,786,5,16
184,e184,n5345,n5349,868,18,18
185,e185,n2147,n2149,965,12,20
186,e186,n2147,n2155,469,6,10
187,e187,n2147,n2148,965,11,20
188,e188,n2147,n2151,713,5,15
189,e189,n2815,n4363,519,13,11
190,e190,n2226,n2241,205,10,5
191,e191,n2226,n2248,672,7,14
192,e192,n2213,n2226,882,9,18
193,e193,n2196,n2226,681,11,14
194,e194,n4716,n4717,268,9,6
195,e195,n2265,n2270,748,17,15
196,e196,n2265,n2272,327,19,7
197,e197,n2265,n2266,518,5,11
198,e198,n2265,n2267,684,6,14
199,e199,n941,n4717,357,8,8
200,e200,n2383,n2386,372,15,8
201,e201,n2383,n2384,705,16,15
202,e202,n2383,n2385,796,10,16
203,e203,n2383,n2387,270,6,6
204,e204,n1587,n1588,710,5,15
205,e205,n364,n372,326,5,7
206,e206,n372,n400,666,20,14
207,e207,n372,n399,326,14,7
208,e208,n372,n377,471,7,10
209,e209,n2480,n2483,950,16,19
210,e210,n2501,n2505,695,7,14
211,e211,n2501,n2502,472,12,10
212,e212,n110,n2501,386,16,8
213,e213,n2501,n2503,410,13,9
214,e214,n2495,n2497,286,9,6
215,e215,n1526,n2665,438,8,9
216,e216,n1526,n2661,994,13,20
217,e217,n1507,n1526,372,8,8
218,e218,n1526,n2651,922,10,19
219,e219,n1657,n2500,392,20,8
220,e220,n1657,n2495,762,5,16
221,e221,n810,n2619,334,20,7
222,e222,n2619,n2620,623,11,13
223,e223,n2620,n2621,299,14,6
224,e224,n2621,n2622,245,20,5
225,e225,n2623,n2624,699,13,14
226,e226,n2624,n2625,609,16,13
227,e227,n2624,n2626,531,19,11
228,e228,n2627,n2629,507,11,11
229,e229,n2627,n2628,644,6,13
230,e230,n2626,n2627,942,9,19
231,e231,n2628,n2630,611,8,13
232,e232,n2628,n2631,567,15,12
233,e233,n757,n766,550,19,11
234,e234,n766,n789,513,10,11
235,e235,n766,n783,907,5,19
236,e236,n783,n794,625,8,13
237,e237,n794,n800,770,20,16
238,e238,n800,n821,306,8,7
239,e239,n821,n2633,409,20,9
240,e240,n2632,n2633,988,7,20
241,e241,n2632,n2634,955,13,20
242,e242,n2634,n2635,518,14,11
243,e243,n2636,n2637,971,9,20
244,e244,n804,n2636,280,19,6
245,e245,n2636,n2638,842,19,17
246,e246,n2638,n2639,918,13,19
247,e247,n108,n2641,972,19,20
248,e248,n2641,n2642,814,5,17
249,e249,n2642,n2644,704,19,15
250,e250,n2642,n2643,217,11,5
251,e251,n2643,n2645,411,10,9
252,e252,n2645,n2648,991,9,20
253,e253,n115,n2648,670,15,14
254,e254,n112,n115,878,16,18
255,e255,n108,n112,842,12,17
256,e256,n105,n108,896,17,18
257,e257,n2650,n2651,245,19,5
258,e258,n1523,n1527,620,10,13
259,e259,n1527,n2653,325,11,7
260,e260,n2653,n2654,841,8,17
261,e261,n2654,n2655,324,14,7
262,e262,n2655,n2656,860,18,18
263,e263,n2656,n2657,329,15,7
264,e264,n2657,n2658,208,18,5
265,e265,n2658,n2659,890,5,18
266,e266,n2659,n2660,264,13,6
267,e267,n1523,n2660,735,14,15
268,e268,n1517,n1523,818,16,17
269,e269,n1507,n1517,322,8,7
270,e270,n2661,n2662,677,20,14
271,e271,n2661,n2663,244,14,5
272,e272,n2662,n2663,971,7,20
